,,,,,,,,,,,,,,,,,,,dealer,,,,,,,,,,,,,,
ACCOUNTING_TRANS_ID,TRANS_DATE,LOAN_ID,CORE_LOAN_ID,TRANS_TYPE,TRANS_DESC,ACCOUNT_CODE,PERIOD,CURR_CODE,OTHER_AMT,AMOUNT,D_C,JRNAL_TYPE,TREFERENCE,DESCRIPTN,DUE_DATE,ANAL01,ANAL02,ANAL03,ANAL04,ANAL05,ANAL06,ANAL07,ANAL08,ANAL09,ANAL10,CAMPAIGN_CODE,STATUS,CREATOR,CREATE_DATE,MODIFIER,MODIFY_DATE,APPROVAL,APPROVE_DATE
717,08DEC2020:00:00:00,2012051864,100235483,DISBURSE_SUBVENTION_VAT_AMT_POST,RECEIVE SUBVENTION,3391401000,122020,VND,54045,54045,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,09DEC2020:16:27:43,,,,
718,08DEC2020:00:00:00,2012051860,100235503,DISBURSE_SUBVENTION_VAT_TOTAL_POST,RECEIVE SUBVENTION,1341020000,122020,VND,649950,649950,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NP2WZO,17,TVT1,,,,,,,NP2WZO,99,baont,09DEC2020:16:27:43,,,,
719,08DEC2020:00:00:00,2012051847,100235487,DISBURSE_SUBVENTION_VAT_TOTAL_POST,RECEIVE SUBVENTION,1341020000,122020,VND,900000,900000,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
720,08DEC2020:00:00:00,2012051865,100235489,DISBURSE_SUBVENTION_VAT_TOTAL_POST,RECEIVE SUBVENTION,1341020000,122020,VND,900000,900000,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
721,08DEC2020:00:00:00,2012051864,100235483,DISBURSE_SUBVENTION_VAT_TOTAL_POST,RECEIVE SUBVENTION,1341020000,122020,VND,594500,594500,D,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,09DEC2020:16:27:43,,,,
722,08DEC2020:00:00:00,2012051860,100235503,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774080001,122020,VND,590864,590864,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NP2WZO,17,TVT1,,,,,,,NP2WZO,99,baont,09DEC2020:16:27:43,,,,
723,08DEC2020:00:00:00,2012051847,100235487,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774080001,122020,VND,818182,818182,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
724,08DEC2020:00:00:00,2012051865,100235489,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774080001,122020,VND,818182,818182,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FTCDZO,2,MW1,,,,,,,FTCDZO,99,baont,09DEC2020:16:27:43,,,,
725,08DEC2020:00:00:00,2012051864,100235483,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774080001,122020,VND,540455,540455,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,FT2WZO,17,TVT1,,,,,,,FT2WZO,99,baont,09DEC2020:16:27:43,,,,
726,08DEC2020:00:00:00,2012051860,100235503,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,3393010001,122020,VND,590864,590864,C,LMSS,LMSS08122020,RECEIVE SUBVENTION,,970-000,NP2WZO,17,TVT1,,,,,,,NP2WZO,99,baont,09DEC2020:16:27:43,,,,
